# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
guo 	國	c=1 d=3.57725e-54 t=63164
guo 	過	c=40 d=0.00121874 t=63164
guo bao 	國寶	c=1 d=1 t=62125
guo cheng 	過程	c=20 d=0.00339833 t=63164
guo cuo 	過錯	c=4 d=0.0629761 t=63164
guo de 	過得	c=1 d=8.78993e-13 t=63164
guo du 	過渡	c=1 d=3.13957e-48 t=63164
guo duan 	果斷	c=1 d=1.25143e-21 t=63164
guo duo 	過多	c=1 d=1.21817e-57 t=63164
guo fen 	過分	c=1 d=7.28648e-12 t=63164
guo hu 	過戶	c=4 d=1.11706e-46 t=63164
guo ji 	國際	c=5 d=7.21521e-14 t=63164
guo ji tian 	過幾天	c=5 d=0.00046962 t=63164
guo jia 	國家	c=6 d=1.17148e-09 t=63164
guo ke 	過客	c=1 d=8.63937e-45 t=63164
guo lai 	過來	c=4 d=1.9158e-31 t=63164
guo le 	過了	c=2 d=2.06431e-27 t=63164
guo mao 	國貿	c=1 d=3.12986e-41 t=63164
guo mu 	過目	c=1 d=1.51406e-27 t=63164
guo nei 	國內	c=5 d=0.0147188 t=63164
guo nian 	過年	c=1 d=2.05122e-11 t=63164
guo qi 	國企	c=1 d=4.5886e-42 t=63164
guo qi 	過期	c=1 d=1 t=57185
guo qing 	國慶	c=11 d=1.26337e-15 t=63164
guo qing jie 	國慶節	c=2 d=2.95371e-36 t=63164
guo qing ru he 	國慶如何	c=1 d=7.44381e-28 t=63164
guo qu 	過去	c=4 d=0.000765486 t=63164
guo ran 	果然	c=1 d=1 t=59235
guo re 	過熱	c=1 d=1 t=60970
guo shan che 	過山車	c=1 d=3.02015e-33 t=63164
guo sheng 	過生	c=1 d=3.18376e-36 t=63164
guo shi 	過時	c=0 d=3.75886e-20 t=63164
guo tong 	國通	c=1 d=1.65355e-05 t=63164
guo wai 	國外	c=6 d=1.21846e-12 t=63164
guo wan piao pen 	鍋碗瓢盆	c=1 d=3.72983e-16 t=63164
guo you gong si 	國有公司	c=2 d=1.0572e-49 t=63164
guo yu 	過於	c=3 d=7.14585e-19 t=63164
guo zhai 	國債	c=1 d=8.95805e-30 t=63164
ha 	哈	c=18 d=5.53351e-06 t=63164
ha ha 	哈哈	c=49 d=0.679281 t=63164
ha ha ha 	哈哈哈	c=104 d=0.752014 t=63164
ha ha ha fu du sheng 	哈哈哈復讀生	c=1 d=1 t=56029
ha ha ha ha 	哈哈哈哈	c=2 d=1.01073 t=57630
ha ha ha ha ha ha hong hong huo huo 	哈哈哈哈哈哈紅紅火火	c=1 d=1 t=56033
hai 	海	c=1 d=0.226502 t=63164
hai 	還	c=125 d=0.771972 t=63164
hai bian 	海邊	c=5 d=2.00399e-31 t=63164
hai bu hao 	還不好	c=1 d=6.24026e-12 t=63164
hai bu ru 	還不如	c=2 d=1.35427e-09 t=63164
hai bu shi 	還不是	c=3 d=1.39263e-14 t=63164
hai bu xing 	還不行	c=1 d=1.6558e-21 t=63164
hai cheng 	海乘	c=3 d=3.11491e-39 t=63164
hai dao 	海盜	c=5 d=3.47136e-39 t=63164
hai de 	還得	c=2 d=9.82203e-25 t=63164
hai dui 	還對	c=1 d=4.0391e-12 t=63164
hai duo 	還多	c=1 d=5.33573e-52 t=63164
hai hang 	海航	c=1 d=1 t=59798
hai hao 	還好	c=8 d=5.09763e-15 t=63164
hai hao si 	還好似	c=1 d=2.76124e-08 t=63164
hai hui 	還會	c=1 d=4.30216e-19 t=63164
hai ji 	孩幾	c=1 d=2.70657e-08 t=63164
hai ji de 	還記得	c=2 d=6.88438e-50 t=63164
hai jiang 	還將	c=1 d=2.70593e-64 t=63164
hai ke yi 	還可以	c=17 d=0.839457 t=63164
hai li 	海裏	c=1 d=4.91445e-55 t=63164
hai liang 	海量	c=1 d=1.75032e-27 t=63164
hai mei 	還沒	c=2 d=2.38894e-10 t=63164
hai mei xie 	還沒寫	c=1 d=1 t=57708
hai mei you 	還沒有	c=2 d=6.41042e-05 t=63164
hai neng 	還能	c=6 d=1.60495e-07 t=63164
hai neng gou 	還能夠	c=0 d=1.66524e-30 t=63164
hai pa 	還怕	c=1 d=1.30632e-26 t=63164
hai qu 	還去	c=1 d=2.74318e-19 t=63164
hai sheng 	還剩	c=1 d=0.869358 t=63164
hai shi 	還是	c=242 d=0.657555 t=63164
hai shuo 	還說	c=3 d=0.000385874 t=63164
hai song 	還送	c=1 d=0.680451 t=63164
hai suan 	還算	c=5 d=2.07184e-11 t=63164
hai tan 	海灘	c=1 d=4.24677e-43 t=63164
hai ti 	還提	c=1 d=4.44314e-16 t=63164
hai wai 	海外	c=4 d=1.85281e-20 t=63164
hai xiang 	海象	c=7 d=4.71045e-20 t=63164
hai xiang 	還想	c=6 d=6.49161e-06 t=63164
hai xing 	還行	c=3 d=0.969683 t=63164
hai xiu 	害羞	c=1 d=1.01384e-44 t=63164
hai xu yao 	還需要	c=2 d=7.87004e-36 t=63164
hai yang 	海洋	c=1 d=3.61948e-45 t=63164
hai yao 	還要	c=17 d=9.34348e-09 t=63164
hai yao ren 	還要人	c=1 d=4.19665e-21 t=63164
hai yi 	海翼	c=1 d=4.02019e-45 t=63164
hai yi wei 	還以爲	c=1 d=1.81452e-39 t=63164
hai yong 	還用	c=1 d=9.98235e-39 t=63164
hai you 	還有	c=57 d=2.76747 t=63164
hai you mei you 	還有沒有	c=1 d=1 t=61210
hai you ni 	還有你	c=1 d=2.68046e-41 t=63164
hai you ren 	還有人	c=1 d=2.54142e-32 t=63164
hai you yi dian 	還有一點	c=2 d=0.00022941 t=63164
hai yuan 	還遠	c=1 d=1.84194e-39 t=63164
hai zai 	還在	c=16 d=0.78283 t=63164
hai zao 	還早	c=0 d=6.24643e-54 t=63164
hai zao zhe 	還早着	c=1 d=6.27774e-53 t=63164
hai zei wang 	海賊王	c=1 d=2.77122e-21 t=63164
hai zi 	孩子	c=2 d=0.000171756 t=63164
han 	含	c=1 d=0.067368 t=63164
han 	喊	c=7 d=1.72265e-28 t=63164
han 	涵	c=0 d=2.84863e-52 t=63164
han 	漢	c=4 d=1.91982e-35 t=63164
han 	菡	c=2 d=6.03483e-46 t=63164
han chang lin li 	酣暢淋漓	c=1 d=0.000515692 t=63164
han chou 	汗臭	c=1 d=4.62604e-20 t=63164
han fu wu 	含氟物	c=1 d=0.737123 t=63164
han fu ya gao 	含氟牙膏	c=2 d=1.44044 t=63164
han guo 	韓國	c=21 d=0.000354883 t=63164
han guo ge gu 	韓國個股	c=1 d=3.28743e-60 t=63164
han guo niu 	韓國妞	c=3 d=0.000343955 t=63164
han jia 	寒假	c=2 d=7.47221e-65 t=63164
han ju 	韓劇	c=2 d=3.26325e-32 t=63164
han liang 	含量	c=4 d=1.15659e-35 t=63164
han lin lin 	汗淋淋	c=1 d=1.66405e-50 t=63164
han neng 	漢能	c=1 d=2.65975e-38 t=63164
han ni 	喊你	c=1 d=3.72526e-31 t=63164
han shu 	函數	c=39 d=0.340279 t=63164
han shui 	汗水	c=1 d=1.63928e-50 t=63164
han tang 	含糖	c=1 d=1.65136e-50 t=63164
han tang liang 	含糖量	c=1 d=1.6892e-50 t=63164
han xin 	韓信	c=1 d=1.68696e-05 t=63164
han ye 	汗液	c=1 d=1.56634e-44 t=63164
han yi 	含義	c=9 d=3.41414e-05 t=63164
han yi 	寒意	c=1 d=2.0933e-44 t=63164
han yu 	涵宇	c=1 d=2.07718e-06 t=63164
han yu 	漢語	c=4 d=9.56811e-11 t=63164
han yu 	韓語	c=6 d=5.81541e-06 t=63164
han zi 	漢字	c=4 d=0.790571 t=63164
hang 	航	c=1 d=1.10913e-42 t=63164
hang 	行	c=4 d=7.57144e-08 t=63164
hang guo 	行過	c=1 d=3.1115e-60 t=63164
hang hang 	行行	c=1 d=1 t=59885
hang hua 	行話	c=2 d=5.17389e-32 t=63164
hang jia 	行家	c=1 d=6.92994e-10 t=63164
hang kong 	航空	c=3 d=7.13431e-56 t=63164
hang kong qi 	航空器	c=2 d=9.51857e-54 t=63164
hang qing 	行情	c=2 d=3.17452e-60 t=63164
hang ye 	行業	c=12 d=0.0300468 t=63164
hang yu 	行於	c=0 d=1.09809e-43 t=63164
hao 	好	c=165 d=0.763586 t=63164
hao 	號	c=37 d=2.04494 t=63164
hao ba 	好吧	c=21 d=0.218854 t=63164
hao ban 	好辦	c=1 d=1.06325e-45 t=63164
hao bang 	好棒	c=4 d=3.06121 t=63014
hao bu hao 	好不好	c=1 d=2.93858e-06 t=63164
hao bu hao man 	好不好蠻	c=1 d=2.95331e-05 t=63164
hao can 	好慘	c=1 d=3.86531e-24 t=63164
hao cheng 	號稱	c=1 d=2.52359e-08 t=63164
hao chi 	好吃	c=4 d=1.7573e-16 t=63164
hao chi de 	好吃的	c=1 d=1.7661e-15 t=63164
hao chou 	好醜	c=1 d=8.06627e-61 t=63164
hao chu 	好處	c=2 d=9.04564e-26 t=63164
hao da 	好大	c=1 d=6.77265e-34 t=63164
hao dai 	好歹	c=2 d=2.49372e-15 t=63164
hao de 	好的	c=2 d=0.00114197 t=63164
hao de lo 	好的咯	c=1 d=1.24472e-46 t=63164
hao di fang 	好地方	c=2 d=5.51451e-28 t=63164
hao dian 	好點	c=8 d=1.13999e-12 t=63164
hao dong xi 	好東西	c=2 d=0.0189368 t=63164
hao duan 	好短	c=1 d=2.80718e-55 t=63164
hao duo 	好多	c=17 d=0.0581343 t=63164
hao duo jiu 	好多酒	c=1 d=4.27256e-26 t=63164
hao duo nian 	好多年	c=2 d=1.96872e-28 t=63164
hao duo qian 	好多錢	c=3 d=9.71927e-11 t=63164
hao ge 	好歌	c=1 d=6.13963e-56 t=63164
hao ge 	浩哥	c=1 d=1.47895e-45 t=63164
hao hai 	好還	c=1 d=2.69307e-08 t=63164
hao hao 	好好	c=24 d=0.112478 t=63164
hao hao hao 	好好好	c=2 d=3.44951e-32 t=63164
hao hao kan 	好好看	c=2 d=0.00637737 t=63164
hao hao xiang xiang 	好好想想	c=1 d=2.26726e-42 t=63164
hao huai 	好壞	c=4 d=0.00661447 t=63164
hao ji ge 	好幾個	c=3 d=1.47517e-15 t=63164
hao ji mo 	好寂寞	c=1 d=4.72688e-09 t=63164
hao ji you 	好基友	c=1 d=9.53336e-27 t=63164
hao jiu 	好久	c=7 d=0.00102821 t=63164
hao kai 	好開	c=1 d=1.38323e-52 t=63164
hao kai xin 	好開心	c=1 d=5.01032e-47 t=63164
hao kan 	好看	c=18 d=0.865589 t=63164
hao kuai 	好快	c=1 d=5.93288e-06 t=63164
hao ma 	好嗎	c=3 d=3.76731e-16 t=63164
hao ma 	好嘛	c=2 d=4.90625e-06 t=63164
hao ma 	號碼	c=2 d=1.75999e-33 t=63164
hao mai 	好賣	c=1 d=1.1042e-19 t=63164
hao man 	好慢	c=1 d=0.187308 t=63164
hao man 	好蠻	c=1 d=2.59673e-50 t=63164
hao mao 	好貓	c=1 d=7.10658e-12 t=63164
hao qi 	好奇	c=2 d=3.90482e-26 t=63164
hao qi xin 	好奇心	c=1 d=0.000555857 t=63164
hao re 	好熱	c=1 d=1.46453e-18 t=63164
hao sao qi 	好騷起	c=1 d=1 t=63001
hao shao 	好少	c=1 d=1 t=60447
hao sheng 	好生	c=6 d=1.9848e-06 t=63164
hao shu xi 	好熟悉	c=1 d=1.93506e-31 t=63164
hao shua 	好耍	c=1 d=2.02798e-24 t=63164
hao shuang 	好爽	c=1 d=1 t=59984
hao shuo hua 	好說話	c=1 d=9.47744e-46 t=63164
hao si 	好似	c=0 d=2.74747e-09 t=63164
hao ting 	好聽	c=5 d=0.000850842 t=63164
hao wan 	好玩	c=2 d=8.02083e-24 t=63164
hao wei 	好爲	c=1 d=1.62556e-10 t=63164
hao wei zhi 	好位置	c=1 d=6.16431e-15 t=63164
hao wen zhang 	好文章	c=2 d=0.000340532 t=63164
hao xi huan 	好喜歡	c=2 d=1.51123e-05 t=63164
hao xiang 	好像	c=39 d=3.5061 t=63164
hao xiang ni 	好想你	c=2 d=1.96079 t=60993
hao xiang zhi dao 	好想知道	c=1 d=4.20595e-47 t=63164
hao xiao 	好小	c=1 d=3.11743e-53 t=63164
hao xiao 	好笑	c=1 d=3.92573e-30 t=63164
hao xiao xi 	好消息	c=1 d=2.11075e-24 t=63164
hao xie 	好些	c=1 d=4.20394e-12 t=63164
hao yi dian 	好一點	c=3 d=0.000115067 t=63164
hao yong 	好用	c=3 d=0.0405589 t=63164
hao you 	好友	c=2 d=1.98918e-32 t=63164
hao yue 	好約	c=1 d=2.09337e-15 t=63164
hao zhao 	好找	c=5 d=4.58889e-12 t=63164
hao zi 	耗子	c=1 d=7.03587e-12 t=63164
hao zuo 	好做	c=1 d=1.84897e-25 t=63164
he 	何	c=1 d=2.53615e-37 t=63164
he 	合	c=1 d=1.85786e-52 t=63164
he 	和	c=333 d=1.44721 t=63164
he 	喝	c=5 d=0.000136389 t=63164
he 	核	c=1 d=0.0587185 t=63164
he bao 	荷包	c=9 d=2.59795e-20 t=63164
he bi 	何必	c=1 d=1.6814e-25 t=63164
he bing 	合併	c=7 d=5.60138e-34 t=63164
he dong li 	核動力	c=1 d=0.000100034 t=63164
he fa 	合法	c=6 d=0.537944 t=63164
he fa hua 	合法化	c=3 d=2.44671e-15 t=63164
he fa xing 	合法性	c=1 d=6.3607e-31 t=63164
he he 	呵呵	c=3 d=2.81425 t=63007
he hu 	合乎	c=1 d=1.83406e-18 t=63164
he huo 	合夥	c=3 d=5.15241e-05 t=63164
he huo ren 	合夥人	c=9 d=2.41254e-08 t=63164
he ji 	合計	c=3 d=4.27334e-49 t=63164
he li 	合理	c=1 d=4.15062e-37 t=63164
he li qi xian 	合理期限	c=1 d=3.87928e-37 t=63164
he nei 	河內	c=1 d=4.32078e-11 t=63164
he nian 	何年	c=1 d=3.42986e-59 t=63164
he pan tuo chu 	和盤托出	c=1 d=2.42463e-08 t=63164
he ping 	和平	c=1 d=1.90174e-10 t=63164
he ping fen 	和平分	c=1 d=1.73025e-09 t=63164
he shi 	合適	c=9 d=0.00146632 t=63164
he shi de 	合適的	c=1 d=6.27794e-24 t=63164
he ti 	合體	c=1 d=6.06098e-22 t=63164
he ti 	河堤	c=1 d=2.19764e-28 t=63164
he tong 	合同	c=12 d=0.418642 t=63164
he tong fa 	合同法	c=10 d=3.44789e-32 t=63164
he tong jie chu 	合同解除	c=1 d=1.32701e-05 t=63164
he tong shang 	合同上	c=1 d=1.10303e-36 t=63164
he xie 	和諧	c=1 d=9.40903e-49 t=63164
he xin 	核心	c=13 d=0.0578782 t=63164
he xin dian 	核心點	c=1 d=4.48474e-08 t=63164
he xun 	和訊	c=1 d=1.66632e-66 t=63164
he yi 	合意	c=4 d=6.09344e-26 t=63164
he zhe 	喝着	c=1 d=4.27983e-46 t=63164
he zhi 	何止	c=1 d=0.000368894 t=63164
he zhong 	何種	c=1 d=2.50614e-44 t=63164
he zi 	盒子	c=3 d=2.95084 t=61603
he zu 	合租	c=3 d=4.58594e-27 t=63164
he zuo 	合作	c=3 d=8.02083e-24 t=63164
hei 	黑	c=2 d=0.00316691 t=63164
hei hei 	嘿嘿	c=3 d=0.000254808 t=63164
hei long jiang 	黑龍江	c=2 d=1.79852 t=56371
hei mao 	黑貓	c=1 d=6.96586e-12 t=63164
hei mu 	黑幕	c=1 d=0.631284 t=63164
hei se 	黑色	c=4 d=5.44184e-19 t=63164
hei ti 	黑體	c=2 d=0.91796 t=63164
hen 	很	c=97 d=0.701849 t=63164
hen 	恨	c=1 d=2.81549e-31 t=63164
hen bang 	很棒	c=4 d=1.00126 t=62990
hen cha 	很差	c=1 d=8.53595e-21 t=63164
hen chang 	很長	c=2 d=8.63964e-16 t=63164
hen chou 	很醜	c=2 d=1.82553e-22 t=63164
hen da 	很大	c=7 d=0.000497955 t=63164
hen di 	很低	c=1 d=1.94503e-62 t=63164
hen duo 	很多	c=42 d=0.000263884 t=63164
hen duo nian 	很多年	c=1 d=1.85982e-35 t=63164
hen duo qian 	很多錢	c=3 d=0.000356206 t=63164
hen duo qu 	很多去	c=1 d=2.49364e-44 t=63164
hen duo ren 	很多人	c=5 d=2.95662e-11 t=63164
hen gao 	很高	c=8 d=3.88816e-05 t=63164
hen gui 	很貴	c=1 d=2.01191e-48 t=63164
hen hao 	很好	c=8 d=0.127454 t=63164
hen hao de 	很好的	c=1 d=2.68886e-19 t=63164
hen hao yong 	很好用	c=1 d=2.09473e-52 t=63164
hen ji 	很擠	c=1 d=1 t=58168
hen jian 	很賤	c=1 d=1 t=58240
hen jin 	很近	c=4 d=4.35383e-28 t=63164
hen jiu 	很久	c=2 d=7.60089e-09 t=63164
hen ke neng 	很可能	c=1 d=3.01656e-19 t=63164
hen keng 	很坑	c=1 d=5.51527e-59 t=63164
hen kuai 	很快	c=3 d=9.94851e-28 t=63164
hen man 	很慢	c=2 d=2.79812e-17 t=63164
hen mang 	很忙	c=1 d=5.69116e-46 t=63164
hen nan 	很難	c=9 d=0.0029528 t=63164
hen nan dong 	很難懂	c=1 d=2.1754e-26 t=63164
hen niu 	很妞	c=1 d=3.92093e-45 t=63164
hen pian yi 	很便宜	c=1 d=4.99398e-38 t=63164
hen qing chu 	很清楚	c=1 d=1 t=56784
hen re 	很熱	c=1 d=1 t=62297
hen rong yi 	很容易	c=4 d=6.68931e-06 t=63164
hen shao 	很少	c=8 d=0.00267181 t=63164
hen shuang 	很爽	c=3 d=0.000261259 t=63164
hen shui 	很水	c=1 d=1.48277e-46 t=63164
hen tang 	很燙	c=1 d=1 t=62935
hen tu 	很凸	c=1 d=4.84144e-26 t=63164
hen wan 	很晚	c=1 d=4.13558e-25 t=63164
hen wen 	很穩	c=1 d=1 t=55600
hen xi huan 	很喜歡	c=1 d=1 t=57951
hen xiang 	很像	c=1 d=2.47522e-45 t=63164
hen xiang 	很想	c=2 d=2.146e-13 t=63164
hen xiao 	很小	c=1 d=1.41757e-17 t=63164
hen xu yao 	很需要	c=1 d=4.93085e-06 t=63164
hen you 	很有	c=2 d=8.1042e-28 t=63164
hen you li 	很有力	c=1 d=2.07389e-52 t=63164
hen yuan 	很遠	c=1 d=8.44787e-46 t=63164
hen zao 	很早	c=2 d=1.79852 t=56381
hen zhong 	很重	c=1 d=3.72844e-41 t=63164
hen zhong yao 	很重要	c=3 d=0.00412784 t=63164
heng 	恆	c=1 d=1.02671e-16 t=63164
heng chang 	恆常	c=1 d=4.16281e-14 t=63164
heng lan 	橫欄	c=1 d=8.92277e-13 t=63164
heng sheng 	恆生	c=15 d=3.90528e-25 t=63164
heng sheng zhi shu 	恆生指數	c=4 d=6.7692e-28 t=63164
heng shui 	衡水	c=1 d=3.65274e-35 t=63164
heng te mei 	恆特美	c=1 d=1.04745e-16 t=63164
heng xian 	橫線	c=3 d=2.37284e-11 t=63164
hong 	弘	c=0 d=2.00706e-50 t=63164
hong 	洪	c=3 d=2.3892e-33 t=63164
hong 	紅	c=1 d=2.91935e-16 t=63164
hong bao 	紅包	c=2 d=5.77933e-21 t=63164
hong hai 	紅海	c=1 d=1.50441e-40 t=63164
hong hong huo huo 	紅紅火火	c=1 d=0.38868 t=63164
hong jiu 	紅酒	c=1 d=3.01133e-28 t=63164
hong se 	紅色	c=1 d=1.32214e-50 t=63164
hong shu lin 	紅樹林	c=1 d=5.01373e-55 t=63164
hong xin 	紅心	c=1 d=0.000455097 t=63164
hou 	後	c=83 d=0.31011 t=63164
hou bei 	後背	c=1 d=1 t=60915
hou chu 	後廚	c=1 d=6.01109e-13 t=63164
hou da 	厚大	c=1 d=2.6031e-20 t=63164
hou du 	厚度	c=1 d=1 t=55168
hou duan 	後端	c=2 d=4.57011e-19 t=63164
hou guo 	後果	c=2 d=2.25749e-50 t=63164
hou hua 	後話	c=1 d=7.56813e-17 t=63164
hou hui 	後悔	c=4 d=5.19796e-09 t=63164
hou ji 	猴急	c=1 d=1.31855e-18 t=63164
hou ji bo fa 	厚積薄發	c=3 d=1.07565e-05 t=63164
hou jie 	後街	c=0 d=0.1 t=57693
hou jie nv hai 	後街女孩	c=1 d=1 t=57694
hou lai 	後來	c=9 d=0.271448 t=63164
hou lu 	後路	c=1 d=6.15762e-61 t=63164
hou mian 	後面	c=15 d=0.267135 t=63164
hou qi 	後期	c=2 d=1.37521e-13 t=63164
hou she li 	後設立	c=1 d=2.11686e-58 t=63164
hou shi 	後事	c=2 d=1.95123 t=59213
hou tai 	後臺	c=12 d=2.55065e-05 t=63164
hou wen 	後文	c=2 d=4.36035e-30 t=63164
hou xu 	後續	c=3 d=0.00154923 t=63164
hou xuan 	候選	c=1 d=0.642702 t=63164
hou xuan ce 	候選測	c=2 d=0.63789 t=63164
hou xuan ci 	候選詞	c=6 d=2.10185 t=63164
hou zhe 	後者	c=3 d=0.123687 t=63164
hou zhui 	後綴	c=4 d=3.69924e-06 t=63164
hou zhui ming 	後綴名	c=5 d=4.15053 t=60653
hou zuo 	後座	c=1 d=1.60463e-34 t=63164
hu 	戶	c=2 d=3.04325e-05 t=63164
hu 	胡	c=0 d=3.97545e-32 t=63164
hu 	虎	c=1 d=2.21136e-13 t=63164
hu da 	湖大	c=9 d=4.94147e-09 t=63164
hu die 	蝴蝶	c=1 d=0.0225956 t=63164
hu fen 	互粉	c=1 d=4.11859e-06 t=63164
hu fu 	護膚	c=2 d=2.65857e-44 t=63164
hu huan 	互換	c=2 d=0.0608101 t=63164
hu kou 	戶口	c=5 d=2.67678e-12 t=63164
hu leng hu re 	忽冷忽熱	c=1 d=6.34515e-61 t=63164
hu li 	護理	c=1 d=2.31149e-34 t=63164
hu lian 	互聯	c=1 d=5.65008e-49 t=63164
hu lian wang 	互聯網	c=6 d=4.11198e-05 t=63164
hu lian wang shi dai 	互聯網時代	c=1 d=1.45871e-30 t=63164
hu ling ling 	胡玲玲	c=1 d=3.99538e-31 t=63164
hu lve 	忽略	c=4 d=3.47471e-06 t=63164
hu lve bu ji 	忽略不計	c=1 d=5.76324e-47 t=63164
hu nan 	湖南	c=2 d=2.26495e-31 t=63164
hu nan da xue 	湖南大學	c=4 d=1.12094e-13 t=63164
hu nan de 	湖南的	c=1 d=2.2763e-30 t=63164
hu nan shi fan da xue 	湖南師範大學	c=1 d=9.46102e-55 t=63164
hu shen 	滬深	c=1 d=1.32219e-21 t=63164
hu xiang 	互相	c=1 d=1 t=62179
hu you 	忽悠	c=7 d=8.7572e-06 t=63164
hu ze 	湖澤	c=0 d=0.0150318 t=63164
hu ze he 	湖澤和	c=1 d=0.151072 t=63164
hu zhao 	護照	c=1 d=5.90511e-39 t=63164
hu zhe 	護着	c=1 d=2.65659e-24 t=63164
hu zi 	鬍子	c=1 d=1 t=55529
hua 	化	c=7 d=1.79841 t=63164
hua 	畫	c=1 d=1.96704e-18 t=63164
hua 	花	c=10 d=0.000684785 t=63164
hua 	話	c=61 d=0.000859667 t=63164
hua ban 	花瓣	c=1 d=1.45722e-18 t=63164
hua bo 	劃撥	c=0 d=4.47835e-51 t=63164
hua bo tu di 	劃撥土地	c=1 d=4.5008e-50 t=63164
hua bu 	畫布	c=1 d=2.58167e-11 t=63164
hua bu chuo 	畫不輟	c=1 d=1.72837e-55 t=63164
hua dian 	華電	c=1 d=2.13911e-41 t=63164
hua dian guo ji 	華電國際	c=3 d=2.35698e-28 t=63164
hua dong 	滑動	c=1 d=4.44541e-22 t=63164
hua du 	花都	c=3 d=1.70591e-35 t=63164
hua fei 	花費	c=3 d=4.29982e-42 t=63164
hua hua gong zi 	花花公子	c=1 d=3.35224e-25 t=63164
hua huan 	花環	c=1 d=1.02864e-38 t=63164
hua mian 	畫面	c=1 d=9.50359e-49 t=63164
hua ming ce 	花名冊	c=1 d=1.46244e-60 t=63164
hua pi 	畫皮	c=1 d=4.91812e-05 t=63164
hua qian 	花錢	c=7 d=9.63681e-06 t=63164
hua qiang bei 	華強北	c=2 d=4.19237e-09 t=63164
hua qing jie xian 	劃清界限	c=1 d=5.5175e-05 t=63164
hua quan 	花圈	c=1 d=1.03897e-38 t=63164
hua shuo 	話說	c=1 d=0.000293099 t=63164
hua suan 	划算	c=2 d=1.2949e-11 t=63164
hua tai 	華泰	c=0 d=1.9575e-50 t=63164
hua tai bo rui 	華泰柏瑞	c=1 d=1.96731e-49 t=63164
hua ti 	話題	c=42 d=0.0209856 t=63164
hua wei 	華爲	c=2 d=0.00540733 t=63164
hua xia 	華夏	c=1 d=1.24388e-38 t=63164
hua xia zi 	話匣子	c=1 d=2.22623e-33 t=63164
hua xin 	華新	c=0 d=2.46128e-09 t=63164
hua xin cun 	華新村	c=1 d=2.47362e-08 t=63164
hua yang 	花樣	c=1 d=8.34817e-24 t=63164
hua yu 	話語	c=1 d=5.22473e-40 t=63164
hua zhuang 	化妝	c=5 d=2.65342e-10 t=63164
hua zhuang pin 	化妝品	c=1 d=2.00188e-48 t=63164
hua zuo 	化作	c=1 d=0.0235177 t=63164
huai 	壞	c=4 d=2.6e-06 t=63164
huai chu 	壞處	c=1 d=6.06595e-61 t=63164
huai de 	壞得	c=1 d=2.8175e-10 t=63164
huai diao 	壞掉	c=1 d=9.58767e-35 t=63164
huai hua 	懷化	c=1 d=8.72647e-16 t=63164
huai nian 	懷念	c=2 d=4.5329e-16 t=63164
huai xiao 	壞笑	c=1 d=4.69516e-18 t=63164
huai yin hou 	淮陰侯	c=1 d=8.98459e-06 t=63164
huai zhang 	壞賬	c=1 d=2.48458e-60 t=63164
huan 	換	c=16 d=2.84533e-08 t=63164
huan 	還	c=7 d=1.26465e-27 t=63164
huan bao 	環保	c=1 d=1 t=55105
huan bi 	環比	c=1 d=1.68834e-44 t=63164
huan cheng 	換成	c=8 d=1.83662e-05 t=63164
huan cun 	緩存	c=3 d=6.04412e-11 t=63164
huan de huan shi 	患得患失	c=1 d=7.63095e-26 t=63164
huan ge 	換個	c=1 d=3.70164e-16 t=63164
huan ge pian 	換個片	c=1 d=3.7202e-15 t=63164
huan gong 	還供	c=1 d=4.68926e-62 t=63164
huan hang 	換行	c=1 d=9.01551e-17 t=63164
huan jie 	環節	c=1 d=1.03133e-10 t=63164
huan jing 	環境	c=15 d=0.0147723 t=63164
huan jing bian liang 	環境變量	c=5 d=1 t=59328
huan jing zhi liang 	環境質量	c=1 d=1 t=55144
huan kuan 	還款	c=2 d=4.90025e-21 t=63164
huan le 	歡樂	c=1 d=1.3776e-05 t=63164
huan le jia qi 	歡樂假期	c=1 d=1.13914e-62 t=63164
huan le song 	歡樂頌	c=1 d=0.00013845 t=63164
huan man 	緩慢	c=4 d=8.96902e-15 t=63164
huan ni 	還你	c=1 d=1.9792e-61 t=63164
huan qi 	換氣	c=1 d=1.01122e-43 t=63164
huan qian 	還錢	c=2 d=1.79866e-24 t=63164
huan qing 	還清	c=1 d=1.14431e-27 t=63164
huan qiu 	環球	c=0 d=1.31922e-25 t=63164
huan qiu yi gou 	環球易購	c=10 d=9.053e-07 t=63164
huan ren 	換人	c=1 d=5.14432e-34 t=63164
huan xiang 	幻想	c=2 d=1.53883e-12 t=63164
huan yan zhi 	換言之	c=3 d=7.51734e-26 t=63164
huan ying 	歡迎	c=11 d=0.230459 t=63164
huan ying ni 	歡迎你	c=1 d=9.41894e-32 t=63164
huan you shi jie 	環遊世界	c=1 d=3.66543e-17 t=63164
huan zhai 	還債	c=1 d=1.54675e-43 t=63164
huang 	慌	c=1 d=7.22112e-53 t=63164
huang 	黃	c=6 d=0.000199439 t=63164
huang cai hong 	黃彩虹	c=7 d=5.31172e-18 t=63164
huang dao 	荒島	c=2 d=5.33062e-33 t=63164
huang hang yu 	黃行於	c=1 d=1.1036e-42 t=63164
